filename,title,authors,year,publication,doi,abstract,tema,subtema
/Users/jpl/Downloads/what works against crime/data set of studies/1 homicide/1 focused deterrence/2012 Braga & Weisburd.pdf,The Effects of Focused Deterrence Strategies on Crime: A Systematic Review and Meta-Analysis of the Empirical Evidence: A Systematic Review and Meta-Analysis of the Empirical Evidence,"Braga, A. A.; Weisburd, D. L.",2011,Journal of Research in Crime and Delinquency,,,Estrategias basadas en evidencia para la prevención de homicidios,Disuasión focalizada y vigilancia policial
/Users/jpl/Downloads/what works against crime/data set of studies/1 homicide/1 focused deterrence/2018 Braga et al.pdf,Focused deterrence strategies and crime control: An updated systematic review and meta-analysis of the empirical evidence,"Braga, A. A.; Weisburd, D.; Turchan, B.",2018,Criminology & Public Policy,10.1111/1745-9133.12353,,Estrategias basadas en evidencia para la prevención de homicidios,Disuasión focalizada y vigilancia policial
/Users/jpl/Downloads/what works against crime/data set of studies/1 homicide/1 focused deterrence/2023 Shelfer et al.pdf,A systematic review of Project Safe Neighborhoods effects,"Shelfer, D.; Gullion, C. L.; Guerra, C.; Zhang, Y.; Ingram, J. R.",2023,Justice Evaluation Journal,10.1080/24751979.2022.2109190,,Estrategias basadas en evidencia para la prevención de homicidios,Disuasión focalizada y vigilancia policial
/Users/jpl/Downloads/what works against crime/data set of studies/1 homicide/2 fire arms legislation/2016 McPhedran.pdf,A systematic review of quantitative evidence about the impacts of Australian legislative reform on firearm homicide,"McPhedran, S.",2016,Aggression and Violent Behavior,10.1016/j.avb.2016.03.012,,Estrategias basadas en evidencia para la prevención de homicidios,Legislación sobre armas de fuego
/Users/jpl/Downloads/what works against crime/data set of studies/1 homicide/2 fire arms legislation/2021 Yakubovich.pdf,Effects of laws expanding civilian rights to use deadly force in self-defense on violence and crime: A systematic review,"Yakubovich, A. R.; Degli Esposti, M.; Lange, B. C. L.; Melendez-Torres, G. J.; Parmar, A.; Wiebe, D. J.; Humphreys, D. K.",2021,American Journal of Public Health,10.2105/AJPH.2020.306101,,Estrategias basadas en evidencia para la prevención de homicidios,Legislación sobre armas de fuego
/Users/jpl/Downloads/what works against crime/data set of studies/1 homicide/2 fire arms legislation/2025 Zeoli et al.pdf,Extreme risk protection orders in the United States: A systematic review of the research,"Zeoli, A. M.; Frattaroli, S.; Aassar, M.; Cooper, C. E.; Omaki, E.",2024,,10.1146/annurev-criminol-111523-122602,,Estrategias basadas en evidencia para la prevención de homicidios,Legislación sobre armas de fuego
/Users/jpl/Downloads/what works against crime/data set of studies/1 homicide/3 community based public health/2019 Jabar et al.pdf,Is the introduction of violence and injury observatories associated with a reduction in violence-related injury in adult populations? A systematic review and meta-analysis,"Jabar, A.; Fong, F.; Chavira, M.; Cerqueira, M. T.; Barth, D.; Matzopoulos, R.; Engel, M. E.",2019,BMJ Open,10.1136/bmjopen-2018-027977,,Estrategias basadas en evidencia para la prevención de homicidios,Prevención basada en la comunidad / enfoques de salud pública
/Users/jpl/Downloads/what works against crime/data set of studies/1 homicide/3 community based public health/2025 Ransford et al.pdf,A systematic review on the effectiveness of the Cure Violence approach,"Ransford, C.; Williams, M.; Slutkin, G.",2025,"INQUIRY: The Journal of Health Care Organization, Provision, and Financing",10.1177/00469580251366142,,Estrategias basadas en evidencia para la prevención de homicidios,Prevención basada en la comunidad / enfoques de salud pública
/Users/jpl/Downloads/what works against crime/data set of studies/1 homicide/4 multi/2021 Kopittke & Ramos.pdf,What works and what does not work to reduce homicides in Brazil: A systematic review,"Kopittke, A. L. W.; Ramos, M. P.",2021,Brazilian Journal of Public Administration,10.1590/0034-761220190168,,Estrategias basadas en evidencia para la prevención de homicidios,Estrategias nacionales multicomponente
/Users/jpl/Downloads/what works against crime/data set of studies/1 homicide/4 multi/2025 Bourne.pdf,"Fifty-four years of violence: A meta-analysis of homicide trends, drivers, and interventions in Jamaica, 1970–2024","Bourne, P. A.",2025,,,,Estrategias basadas en evidencia para la prevención de homicidios,Estrategias nacionales multicomponente
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/1. Firearm Legislation and Policy Controls/2005 Hahn et al.pdf,Firearms laws and the reduction of violence: A systematic review,"Hahn, R. A.; Bilukha, O.; Crosby, A.; Fullilove, M. T.; Liberman, A.; Moscicki, E.; Snyder, S.; Tuma, F.; Briss, P. A.; Task Force on Community Preventive Services.",2005,American Journal of Preventive Medicine,10.1016/j.amepre.2004.10.005,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Legislación y control normativo
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/1. Firearm Legislation and Policy Controls/2012 Makarios & Pratt.pdf,The effectiveness of policies and programs that attempt to reduce firearm violence: A meta-analysis,"Makarios, M. D.; Pratt, T. C.",2012,Crime & Delinquency,10.1177/0011128708321321,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Legislación y control normativo
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/1. Firearm Legislation and Policy Controls/2016 Santaella-Tenorio et al.pdf,"What do we know about the association between firearm legislation and firearm-related injuries? Epidemiologic Reviews, 38(1), 140–157","Santaella-Tenorio, J.; Cerdá, M.; Villaveces, A.; Galea, S.",2016,,10.1093/epirev/mxv012,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Legislación y control normativo
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/1. Firearm Legislation and Policy Controls/2020 Sanchez et al.pdf,A systematic review of the causes and prevention strategies in reducing gun violence in the United States,"Sanchez, C.; Jaguan, D.; Shaikh, S., McKenney, M.; Elkbuli, A.",2020,The American Journal of Emergency Medicine,10.1016/j.ajem.2020.06.062,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Legislación y control normativo
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/1. Firearm Legislation and Policy Controls/2020 Smart et al.pdf,Impact on nonfirearm deaths of firearm laws affecting firearm deaths: A systematic review and meta-analysis,"Smart, R.; Schell, T. L.; Cefalu, M.; Morral, A. R.",2020,American Journal of Public Health,10.2105/AJPH.2020.305808,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Legislación y control normativo
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/1. Firearm Legislation and Policy Controls/2021 Krüsselmann et al.pdf,Firearms and violence in Europe: A systematic review,"Krüsselmann, K.; Aarten, P.; Liem, M.",2021,PLOS ONE,10.1371/journal.pone.0248955,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Legislación y control normativo
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/1. Firearm Legislation and Policy Controls/2022 Bennett et al.pdf,The effect of legislation on firearm-related deaths in Canada: A systematic review,"Bennett, N.; Karkada, M.; Erdogan, M.; Green, R. S.",2022,CMAJ Open,10.9778/cmajo.20210192,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Legislación y control normativo
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/2. Policing and Enforcement Strategies/2006 Koper & Mayo-Wilson.pdf,Police crackdowns on illegal gun carrying: A systematic review of their impact on gun crime,"Koper, C. S.; Mayo-Wilson, E.",2006,Journal of Experimental Criminology,10.1007/s11292-006-9005-x,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Estrategias policiales y de aplicación de la ley
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/2. Policing and Enforcement Strategies/2012 Koper & Mayo-Wilson.pdf,Police strategies to reduce illegal possession and carrying of firearms: Effects on gun crime,"Koper, C. S.; Mayo-Wilson, E.",2012,Campbell Systematic Reviews,10.4073/csr.2012.11,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Estrategias policiales y de aplicación de la ley
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/2. Policing and Enforcement Strategies/2023 Dau et al.pdf,Policing directions: A systematic review on the effectiveness of police presence,"Dau, P. M.; Vandeviver, C.; Dewinter, M.; Witlox, F.; Vander Beken, T.",2021,European Journal on Criminal Policy and Research,10.1007/s10610-021-09500-8,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Estrategias policiales y de aplicación de la ley
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/2. Policing and Enforcement Strategies/2024 Turchan & Braga.pdf,The effects of hot spots policing on violence: A systematic review and meta-analysis,"Turchan, B.; Braga, A. A.",2024,Aggression and Violent Behavior,10.1016/j.avb.2024.102011,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Estrategias policiales y de aplicación de la ley
"/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/3. Safe Storage, Removal, and Risk-Based Interventions/2016 Rowhani-Rahbar et al.pdf",Effectiveness of interventions to promote safe firearm storage,"Rowhani-Rahbar, A.; Simonetti, J. A.; Rivara, F. P.",2016,Epidemiologic Reviews,10.1093/epirev/mxv006,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,"Almacenamiento seguro, retiro e intervenciones basadas en el riesgo"
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/4. Community and Environmental Prevention/2016 Branas et al.pdf,Alcohol use and firearm violence,"Branas, C. C.; Han, S.; Wiebe, D. J.",2016,Epidemiologic Reviews,10.1093/epirev/mxv010,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Prevención comunitaria y ambiental
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/4. Community and Environmental Prevention/2021 Bonne et al.pdf,Prevention of firearm violence through specific types of community-based programming: An Eastern Association for the Surgery of Trauma evidence-based review,"Bonne, S. L.; Violano, P.; Duncan, T. K.; Pappas, P. A.; Baltazar, G. A.; Dultz, L. A.; Schroeder, M. E.; Capella, J.; Hirsh, M.; Conrad-Schnetz, K.; Rattan, R.; Como, J. J.; Jewell, S.; Crandall, M. L.",2021,Annals of Surgery,10.1097/SLA.0000000000004837,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Prevención comunitaria y ambiental
/Users/jpl/Downloads/what works against crime/data set of studies/5 firearms/4. Community and Environmental Prevention/2022 Sadatsafavi et al.pdf,Vacant lot remediation and firearm violence: A meta-analysis and benefit-to-cost evaluation,"Sadatsafavi, H.; Sachs, N. A.; Shepley, M. M.; Kondo, M. C.; Barankevich, R. A.",2022,Landscape and Urban Planning,10.1016/j.landurbplan.2021.104281,,Estrategias basadas en evidencia para el control de armas de fuego y municiones,Prevención comunitaria y ambiental
/Users/jpl/Downloads/what works against crime/data set of studies/6 prison alternatives/1. Community-Based Sanctions and Supervision Alternatives/2015 Villettaz et al.pdf,The effects on re‑offending of custodial vs. non‑custodial sanctions: An updated systematic review of the state of knowledge,"Villettaz, P.; Gilliéron, G.; Killias, M.",2015,Campbell Systematic Reviews,10.4073/csr.2015.1,,Estrategias basadas en evidencia para el sistema penitenciario: alternativas a la prisión,Sanciones y supervisión basadas en la comunidad
